name,length,head,tail,com,fm,audio,readability
fiear,5,fi,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
aurear,6,aur,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
dacaux,6,dac,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
dacear,6,dac,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
mixaux,6,mix,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
waxear,6,wax,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
ampaux,6,amp,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audark,6,aud,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
aurkit,6,aur,kit,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxden,6,aux,den,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dacark,6,dac,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dacden,6,dac,den,AVAILABLE,UNVERIFIED,UNVERIFIED,2
daclux,6,dac,lux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dacvox,6,dac,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,2
earark,6,ear,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
fiears,6,fi,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacfi,6,flac,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
octaux,6,oct,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
octear,6,oct,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,2
ohmarc,6,ohm,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
ohmear,6,ohm,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,2
phonfi,6,phon,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
waxarc,6,wax,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
waxark,6,wax,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
waxvox,6,wax,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,2
harkfi,6,hark,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
harmfi,6,harm,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossfi,6,loss,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
noctfi,6,noct,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
octbar,6,oct,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,3
octden,6,oct,den,AVAILABLE,UNVERIFIED,UNVERIFIED,3
octvox,6,oct,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,3
ohmvox,6,ohm,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,3
apexaux,7,apex,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
apexear,7,apex,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
deciaux,7,deci,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
deciear,7,deci,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
etudefi,7,etude,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,1
hifiaux,7,hifi,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
hifiora,7,hifi,ora,AVAILABLE,UNVERIFIED,UNVERIFIED,1
kiloaux,7,kilo,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
kiloden,7,kilo,den,AVAILABLE,UNVERIFIED,UNVERIFIED,1
kiloear,7,kilo,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
kiloora,7,kilo,ora,AVAILABLE,UNVERIFIED,UNVERIFIED,1
monoaux,7,mono,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
nanoaux,7,nano,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
opusaux,7,opus,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
opusear,7,opus,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
reelaux,7,reel,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
resoaux,7,reso,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
resobar,7,reso,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,1
resoear,7,reso,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
resoera,7,reso,era,AVAILABLE,UNVERIFIED,UNVERIFIED,1
resoora,7,reso,ora,AVAILABLE,UNVERIFIED,UNVERIFIED,1
sineaux,7,sine,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
sinekit,7,sine,kit,AVAILABLE,UNVERIFIED,UNVERIFIED,1
sonoaux,7,sono,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tapeaux,7,tape,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tapeear,7,tape,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tapeera,7,tape,era,AVAILABLE,UNVERIFIED,UNVERIFIED,1
toneaux,7,tone,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tonoaux,7,tono,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tonoden,7,tono,den,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tonohub,7,tono,hub,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tonokit,7,tono,kit,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tonovox,7,tono,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tubeear,7,tube,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,1
waveaux,7,wave,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
auddeck,7,aud,deck,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audform,7,aud,form,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audhifi,7,aud,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audloop,7,aud,loop,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audmode,7,aud,mode,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audnode,7,aud,node,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audpath,7,aud,path,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audroom,7,aud,room,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audtone,7,aud,tone,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audwerk,7,aud,werk,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auralfi,7,aural,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
aurgear,7,aur,gear,AVAILABLE,UNVERIFIED,UNVERIFIED,2
aurhifi,7,aur,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
aurmode,7,aur,mode,AVAILABLE,UNVERIFIED,UNVERIFIED,2
aurpath,7,aur,path,AVAILABLE,UNVERIFIED,UNVERIFIED,2
aurtone,7,aur,tone,AVAILABLE,UNVERIFIED,UNVERIFIED,2
aurwerk,7,aur,werk,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxears,7,aux,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxhifi,7,aux,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxpath,7,aux,path,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxsync,7,aux,sync,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxtone,7,aux,tone,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxwerk,7,aux,werk,AVAILABLE,UNVERIFIED,UNVERIFIED,2
beldeck,7,bel,deck,AVAILABLE,UNVERIFIED,UNVERIFIED,2
belears,7,bel,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
belpath,7,bel,path,AVAILABLE,UNVERIFIED,UNVERIFIED,2
belwerk,7,bel,werk,AVAILABLE,UNVERIFIED,UNVERIFIED,2
cansaux,7,cans,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
daccast,7,dac,cast,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dacdeck,7,dac,deck,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dacears,7,dac,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dacform,7,dac,form,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dacmode,7,dac,mode,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dacnode,7,dac,node,AVAILABLE,UNVERIFIED,UNVERIFIED,2
dactone,7,dac,tone,AVAILABLE,UNVERIFIED,UNVERIFIED,2
deciarc,7,deci,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
deciark,7,deci,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
earbyte,7,ear,byte,AVAILABLE,UNVERIFIED,UNVERIFIED,2
eardesk,7,ear,desk,AVAILABLE,UNVERIFIED,UNVERIFIED,2
echoaux,7,echo,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacarc,7,flac,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacark,7,flac,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacaux,7,flac,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacbar,7,flac,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacbit,7,flac,bit,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacden,7,flac,den,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacear,7,flac,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacera,7,flac,era,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flackit,7,flac,kit,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flaclux,7,flac,lux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacvox,7,flac,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacway,7,flac,way,AVAILABLE,UNVERIFIED,UNVERIFIED,2
harkarc,7,hark,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
harkaux,7,hark,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
harmarc,7,harm,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
harmaux,7,harm,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifiark,7,hifi,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lossarc,7,loss,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lossark,7,loss,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lossaux,7,loss,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lossear,7,loss,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lossera,7,loss,era,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lushaux,7,lush,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
mixhifi,7,mix,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
noctarc,7,noct,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
noctaux,7,noct,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
phonaux,7,phon,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
phonbar,7,phon,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,2
phonbit,7,phon,bit,AVAILABLE,UNVERIFIED,UNVERIFIED,2
phonvox,7,phon,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,2
resoarc,7,reso,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
resoark,7,reso,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
richear,7,rich,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,2
silkaux,7,silk,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
sincark,7,sinc,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
sincaux,7,sinc,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
sineark,7,sine,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
sonears,7,son,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
sonhifi,7,son,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
tonoark,7,tono,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,2
trueaux,7,true,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
tubearc,7,tube,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,2
valvefi,7,valve,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
warmaux,7,warm,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
wattaux,7,watt,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
wattear,7,watt,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,2
waxears,7,wax,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
waxhifi,7,wax,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
waxnode,7,wax,node,AVAILABLE,UNVERIFIED,UNVERIFIED,2
aurgram,7,aur,gram,AVAILABLE,UNVERIFIED,UNVERIFIED,3
cansbit,7,cans,bit,AVAILABLE,UNVERIFIED,UNVERIFIED,3
cansbox,7,cans,box,AVAILABLE,UNVERIFIED,UNVERIFIED,3
cansden,7,cans,den,AVAILABLE,UNVERIFIED,UNVERIFIED,3
canslux,7,cans,lux,AVAILABLE,UNVERIFIED,UNVERIFIED,3
dacgram,7,dac,gram,AVAILABLE,UNVERIFIED,UNVERIFIED,3
fiwerks,7,fi,werks,AVAILABLE,UNVERIFIED,UNVERIFIED,3
harmbar,7,harm,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,3
harmden,7,harm,den,AVAILABLE,UNVERIFIED,UNVERIFIED,3
harmhub,7,harm,hub,AVAILABLE,UNVERIFIED,UNVERIFIED,3
harmkit,7,harm,kit,AVAILABLE,UNVERIFIED,UNVERIFIED,3
harmlux,7,harm,lux,AVAILABLE,UNVERIFIED,UNVERIFIED,3
harmvox,7,harm,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,3
klangfi,7,klang,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossbar,7,loss,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossbit,7,loss,bit,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossden,7,loss,den,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losskit,7,loss,kit,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslux,7,loss,lux,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossvox,7,loss,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,3
noctbar,7,noct,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,3
noctbit,7,noct,bit,AVAILABLE,UNVERIFIED,UNVERIFIED,3
noctbox,7,noct,box,AVAILABLE,UNVERIFIED,UNVERIFIED,3
nocthub,7,noct,hub,AVAILABLE,UNVERIFIED,UNVERIFIED,3
noctway,7,noct,way,AVAILABLE,UNVERIFIED,UNVERIFIED,3
octhifi,7,oct,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
